"date","month","title","cleaned_text","publisher","topic"
2024-04-01,"Apr 2024","'Squad' Member Summer Lee Faces Primary Challenge Over Criticism of Israel; Pittsburgh Democrat angers Jewish constituents, draws praise from progressives","squad member summer lee face primary challenge criticism israel pittsburgh democrat anger jewish constituent draw praise progressive","Wall_Street_News","Israel Conflict"
2024-02-01,"Feb 2024","'The Ukraine' Review: Truth and Fiction From Kyiv and Beyond; A collection of short stories and nonfiction pieces written in the years before Vladimir Putin's 2022 invasion.","ukraine review truth fiction kyiv beyond collection short story nonfiction piece write year vladimir putin's 2022 invasion","Wall_Street_News","Ukraine Conflict"
2024-01-01,"Jan 2024","‘It’s State Propaganda’: Ukrainians Shun TV News as War Drags on","it’s state propaganda ukrainian shun tv news war drag","The New York Times","Ukraine Conflict"
2024-01-01,"Jan 2024","‘No Time to Go Wobbly’: Why Britain Is Lobbying U.S. Republicans on Ukraine","time go wobbly britain lobby u.s republican ukraine","The New York Times","Ukraine Conflict"
2024-05-01,"May 2024","‘Ukraine Has Gone Through a Terrible Period’: A Q. and A. With Frederick and Kimberly Kagan","ukraine go terrible period frederick kimberly kagan","The New York Times","Ukraine Conflict"
2024-02-01,"Feb 2024","‘Veselka’ Review: Serving Up Support for Ukraine","veselka review serve support ukraine","The New York Times","Ukraine Conflict"
2024-02-01,"Feb 2024","A bill with $14 billion for Israel’s war in Gaza passes the Senate but may falter in the House.","bill 14 billion israel’s war gaza pass senate may falter house","The New York Times","Israel Conflict"
2024-03-01,"Mar 2024","A Brutal Murder, a Young Detective and the Perilous Path to Justice in Ukraine; Despite wartime solidarity, violent crime is rising. As one city fell, police rushed to build a case on behalf of a shattered family.","brutal murder young detective perilous path justice ukraine despite wartime solidarity violent crime rise one city fall police rush build case behalf shatter family","Wall_Street_News","Ukraine Conflict"
2024-01-01,"Jan 2024","A Child of Another War Who Makes Music for Ukrainians","child another war make music ukrainian","The New York Times","Ukraine Conflict"
2024-02-01,"Feb 2024","A federal judge dismisses a suit to block U.S. support of Israel — but urges Biden to re-examine his approach.","federal judge dismiss suit block u.s support israel urge biden re-examine approach","The New York Times","Israel Conflict"
