"abstract","web_url","lead_paragraph","source","pub_date","_id","document_type","headlines"
"In “The Genius of Israel,” Dan Senor and Saul Singer take a look at the economic strength and high quality of life for some of the people who live in a troubled country.","https://www.nytimes.com/2023/11/01/books/review/the-genius-of-israel-dan-senor-saul-singer.html","More than 1,000 of its citizens, mostly civilians, were slaughtered in a matter of hours by a militant group thought to be ragtag and toothless. The country’s security services were nowhere to be found. The citizens’ faith in their political leader, a prime minister charged with bribery and fraud, was plummeting even before the attack. For the previous nine months, tens of thousands of protesters had held weekly demonstrations asserting that their beloved nation was being dragged by its populist government into authoritarian penury. Eventually, 360,000 reservists rushed into uniforms to fight the militants, only to find substandard equipment that had to be upgraded with private funds raised by volunteers.","The New York Times","2023-11-01T09:00:43+0000","nyt://article/40fa8e6f-96ff-5b2d-b1e6-c125d87d58c6","article","Israel Is in Crisis. These Authors See Reason for Hope."
"For people in Bilozerka, the invasion began a cat-and-mouse game of collaboration and resistance.","https://www.nytimes.com/2023/11/01/magazine/ukraine-kherson-collaboration-russia.html","Andriy Koshelev steered his car into the driveway of his home on Pushkin Street in Bilozerka, a lakeside town in Ukraine’s Kherson region. Leaving the car on, Koshelev got out and walked to the entrance gate. He reached down to loosen the latch. When he pulled it, the gate exploded. Koshelev’s parents, who lived on the same property, rushed outside as acrid smoke filled their driveway and the street. The explosion resounded across town. ","The New York Times","2023-11-01T09:02:55+0000","nyt://article/5a8825f7-f1a7-5a65-8bda-5f87aa6e35bb","article","Some Ukrainians Helped the Russians. Their Neighbors Sought Revenge."
"With Israel bent on crushing Iran’s ally Hamas, Tehran must decide whether it and the proxy militias it arms and trains will live up to its fiery rhetoric.","https://www.nytimes.com/2023/11/01/world/middleeast/iran-israel-hamas.html","For more than four decades, Iran’s rulers have pledged to destroy Israel. The supreme leader, Ayatollah Ali Khamenei, rarely appears in public without wearing a black-and-white checkered Palestinian kaffiyeh.","The New York Times","2023-11-01T09:03:03+0000","nyt://article/0797f08b-b4aa-521a-a99d-d905caf3737c","article","After Years of Vowing to Destroy Israel, Iran Faces a Dilemma"
"Some ideological trends and tendencies worth watching.","https://www.nytimes.com/2023/11/01/opinion/israel-hamas-gaza-war-politics.html","It’s been a long time since the conflict between Israel and the Palestinians occupied such a central place in Western political attention and debate — certainly not since the Israeli invasion of Gaza in 2009, arguably not since the second intifada ended in 2005.","The New York Times","2023-11-01T09:03:09+0000","nyt://article/cf344b7a-99a1-5317-b87d-cee4100149f1","article","The Israel-Hamas War Will Reshape Western Politics"
"Chile and Colombia said they were recalling their ambassadors to Israel in light of the strikes.","https://www.nytimes.com/2023/11/01/world/middleeast/bolivia-israel-gaza-ties.html","Bolivia has severed relations with Israel over its strikes on Gaza, a diplomatic decision that Israel condemned as a “surrender to terrorism” even as its own ties with other countries in Latin America began to fray.","The New York Times","2023-11-01T13:42:33+0000","nyt://article/ac3b4ed3-2f8a-578b-b3ed-fde09f71ad88","article","Bolivia Cuts Diplomatic Ties With Israel Over Strikes in Gaza"
"As U.S. officials warned senators against halting military aid, President Volodymyr Zelensky said his troops’ achievements were “perceived as a given.”","https://www.nytimes.com/2023/11/01/world/europe/zelensky-ukraine-war.html","President Volodymyr Zelensky of Ukraine has expressed frustration over what he has labeled unrealistic expectations for rapid success on the battlefield amid concerns that slow progress against entrenched Russian forces will discourage Kyiv’s allies from sustaining military aid.","The New York Times","2023-11-01T14:05:11+0000","nyt://article/78bc6c50-fdb3-5048-909f-d482e578c217","article","Frustrated Zelensky Says Ukraine’s War Effort Is Being Underestimated"
"As the Mideast war escalates, the party’s politicians and activists are casting antisemitic incidents and progressive protests as part of a larger cultural battle over education.","https://www.nytimes.com/2023/11/01/us/politics/republicans-israel-war-protests-college-campuses.html","The newest front in America’s cultural battles is a war taking place thousands of miles away.","The New York Times","2023-11-01T16:23:53+0000","nyt://article/416c485e-abd0-50ce-8960-030f70996394","article","In Protests Against Israel Strikes, G.O.P. Sees ‘Woke Agenda’ at Colleges"
"The soldiers’ deaths were the first publicly confirmed by the Israeli military inside Gaza since an invasion began on Friday.","https://www.nytimes.com/2023/11/01/world/middleeast/israel-ground-invasion-gaza-soldiers.html","At least 15 Israeli soldiers have been killed in battles in northern Gaza since Tuesday as its forces press deeper into the enclave, attacking dozens of targets affiliated with its Hamas rulers, the Israeli military said.","The New York Times","2023-11-01T17:02:55+0000","nyt://article/e14ee97a-0f0c-50c2-9a7d-64cf68dc3ace","article","Israel Confirms Deaths of 15 Soldiers in Ground Invasion of Gaza"
"A president focused on China and Ukraine had little time or inclination for a distant goal that stymied several of his predecessors.","https://www.nytimes.com/2023/11/01/us/politics/biden-israel-palestinians-peace.html","Even as President Biden presses Israel to define clearly the goals of its war against Hamas in Gaza, he is turning his eyes to a much larger endgame: the ever-elusive hope for a lasting peace deal between Israel and the Palestinians.","The New York Times","2023-11-01T17:07:26+0000","nyt://article/2e24c41a-b154-54d0-a5ad-a9ecef52ed36","article","Biden Found Even Modest Israel-Palestinian Peace Steps Impossible"
"Hundreds of people, including a few Americans, left the besieged territory for Egypt, the first group allowed across the border since the war began.","https://www.nytimes.com/2023/11/01/world/asia/israel-gaza-people-leave.html","After weeks of waiting, hundreds of people were allowed to leave the besieged Gaza Strip on Wednesday, the first of thousands of foreigners, aid workers and critically wounded patients who were expected to exit in the coming days, as two million increasingly desperate people remained behind.","The New York Times","2023-11-01T20:45:18+0000","nyt://article/e8fcb9aa-397a-5490-b01a-dd1891fb46c3","article","Limited Flight From Gaza Strip Begins, as Israelis Close In on Main City"
"As the conflict intensifies, we wonder how, if at all, you are discussing it with students. Please share your thoughts.","https://www.nytimes.com/2023/11/01/learning/teachers-how-are-you-addressing-the-israel-hamas-war-in-your-classrooms.html","Over the past several weeks, schools have wrestled with how — and whether — to talk to their students about the Israel-Hamas war. The Hamas attack on Israel and the subsequent Israeli bombardment of Gaza have killed thousands of civilians.","The New York Times","2023-11-01T20:57:16+0000","nyt://article/c8068644-44f9-5808-8861-f48e139c05d2","article","Teachers, How Are You Addressing the Israel-Hamas War in Your Classrooms?"
